auction_id,risk,sigma,n,up_win_score,up_pay_final,fp_win_score,fp_pay_final,scale_s,n_level
122,H,0.0995,3,0.112958310676769,0.111395638930608,0.114340471653851,0.114340471653851,0.15,3
123,L,0.0837,3,0.113281957550464,0.11245431973525,0.114732673615592,0.114732673615592,0.15,3
124,L,0.0837,3,0.119343241421924,0.118194187327392,0.120209573546521,0.120209573546521,0.15,3
125,H,0.0995,3,0.149767405174464,0.149914027344281,0.153299027564643,0.153299027564643,0.15,3
126,L,0.0837,3,0.154667956067085,0.154114833818634,0.156468756564959,0.156468756564959,0.15,3
127,H,0.0995,3,0.113354302120959,0.112658914872493,0.115999739039926,0.115999739039926,0.15,3
128,L,0.0837,3,0.126179508054604,0.125532450137972,0.127866811987435,0.127866811987435,0.15,3
129,L,0.0837,3,0.123677289591136,0.122490828251935,0.124163669099844,0.124163669099844,0.15,3
130,L,0.0837,3,0.112895814556638,0.111705796769445,0.113598007657416,0.113598007657416,0.15,3
131,L,0.0837,3,0.12567982707533,0.124579921010153,0.126671253537535,0.126671253537535,0.15,3
132,H,0.0995,3,0.113058472039699,0.111590628644156,0.114635622730329,0.114635622730329,0.15,3
133,H,0.0995,3,0.156195605999668,0.155550991563971,0.158899088376545,0.158899088376545,0.15,3
134,L,0.0837,3,0.136517917362382,0.135718216104802,0.138007262862356,0.138007262862356,0.15,3
135,L,0.0837,3,0.154741328807901,0.156654504947581,0.158826928852409,0.158826928852409,0.15,3
136,L,0.0837,3,0.113053515979787,0.111924053703434,0.113973966014085,0.113973966014085,0.15,3
137,L,0.0837,3,0.112962750172857,0.111789984412529,0.113749130916531,0.113749130916531,0.15,3
138,H,0.0995,3,0.112960533645556,0.111399579063598,0.114346634755628,0.114346634755628,0.15,3
139,L,0.0837,3,0.137424091067274,0.140170042448001,0.14262203231825,0.14262203231825,0.15,3
140,H,0.0995,3,0.112756423547316,0.111090960090468,0.113833905684259,0.113833905684259,0.15,3
141,H,0.0995,3,0.113213682458794,0.111997647077026,0.115197851582294,0.115197851582294,0.15,3
142,L,0.0837,3,0.140857790385027,0.141627247550108,0.143976178204843,0.143976178204843,0.15,3
143,L,0.0837,3,0.156073362618253,0.157791340953794,0.159999816185283,0.159999816185283,0.15,3
144,H,0.0995,3,0.113393070967434,0.113100561139037,0.116480154152945,0.116480154152945,0.15,3
145,H,0.0995,3,0.129826713967612,0.130020700097774,0.133404592749781,0.133404592749781,0.15,3
146,H,0.0995,3,0.113290615338863,0.112292119584853,0.11556925697019,0.11556925697019,0.15,3
147,H,0.0995,3,0.124361975722774,0.123445494187556,0.126743857099338,0.126743857099338,0.15,3
148,H,0.0995,3,0.112112976432387,0.110511603260122,0.112611101738983,0.112611101738983,0.15,3
149,H,0.0995,3,0.112667064358951,0.110981997554028,0.113635583959453,0.113635583959453,0.15,3
150,H,0.0995,3,0.113170754848945,0.111867037719342,0.115024314614761,0.115024314614761,0.15,3
151,L,0.0837,3,0.111685376453693,0.111060530442136,0.111742303229334,0.111742303229334,0.15,3
152,L,0.0837,3,0.127464693508194,0.126496610218519,0.128703943551942,0.128703943551942,0.15,3
153,L,0.0837,3,0.144886074663205,0.14584112831936,0.148168044331369,0.148168044331369,0.15,3
154,L,0.0837,3,0.11252473202307,0.111378725869818,0.112899854225066,0.112899854225066,0.15,3
155,H,0.0995,3,0.11311805444956,0.111727653021189,0.114832229517223,0.114832229517223,0.15,3
156,L,0.0837,3,0.122029331370658,0.121527792185638,0.12389039853991,0.12389039853991,0.15,3
157,L,0.0837,3,0.112974685202463,0.111806183442451,0.113777264976025,0.113777264976025,0.15,3
158,L,0.0837,3,0.133216481427283,0.132227496571741,0.134420865678394,0.134420865678394,0.15,3
159,H,0.0995,3,0.179053203349136,0.179562616012349,0.182932414215341,0.182932414215341,0.15,3
160,H,0.0995,3,0.151296381902744,0.152978187212946,0.156221124647595,0.156221124647595,0.15,3
161,H,0.0995,3,0.153178291533881,0.154889172842267,0.158127847544187,0.158127847544187,0.15,3
162,L,0.0837,3,0.139606479556465,0.141381165869436,0.143661213821835,0.143661213821835,0.15,3
163,L,0.0837,3,0.137810499513632,0.13988710340183,0.142220283119267,0.142220283119267,0.15,3
164,L,0.0837,3,0.112995462753464,0.111835342884891,0.113827201969403,0.113827201969403,0.15,3
165,L,0.0837,3,0.11288310002954,0.111690964447949,0.113570460808858,0.113570460808858,0.15,3
166,H,0.0995,3,0.126836575624888,0.125822982196762,0.12909581887101,0.12909581887101,0.15,3
167,H,0.0995,3,0.113246563496102,0.112111748461104,0.11534483400368,0.11534483400368,0.15,3
168,H,0.0995,3,0.153290078914079,0.152997761508746,0.156377364088713,0.156377364088713,0.15,3
169,H,0.0995,3,0.122498313789451,0.12115054327052,0.124282546144251,0.124282546144251,0.15,3
170,L,0.0837,3,0.150875592378891,0.152702126931836,0.154890798461587,0.154890798461587,0.15,3
171,L,0.0837,3,0.116438074260137,0.116394446786775,0.118790640846598,0.118790640846598,0.15,3
172,L,0.0837,3,0.141940185734359,0.142008667042312,0.144404587526546,0.144404587526546,0.15,3
173,L,0.0837,3,0.153546693672216,0.155734437662315,0.157852970548676,0.157852970548676,0.15,3
174,L,0.0837,3,0.153605094287044,0.153297163932419,0.155682147110118,0.155682147110118,0.15,3
175,L,0.0837,3,0.113276000362883,0.112433766109471,0.114706162802269,0.114706162802269,0.15,3
176,L,0.0837,3,0.115238435162709,0.114219973458845,0.116391471345005,0.116391471345005,0.15,3
177,L,0.0837,3,0.113364288493435,0.113949181764041,0.116381473848595,0.116381473848595,0.15,3
178,H,0.0995,3,0.136839127287817,0.135939025199205,0.13924122686858,0.13924122686858,0.15,3
179,L,0.0837,3,0.113317874969913,0.112594872804582,0.114909144104137,0.114909144104137,0.15,3
180,L,0.0837,3,0.14141520840535,0.142051150308324,0.143838447175194,0.143838447175194,0.15,3
181,L,0.0837,3,0.146477230430531,0.146744158792452,0.149133849959221,0.149133849959221,0.15,3
182,H,0.0995,3,0.153186497708766,0.155934935060704,0.158996413320744,0.158996413320744,0.15,3
183,H,0.0995,3,0.113293655750151,0.1123061156939,0.115586293490525,0.115586293490525,0.15,3
184,L,0.0837,3,0.112655289553218,0.111472915958428,0.113124601843556,0.113124601843556,0.15,3
185,L,0.0837,3,0.112920434497143,0.111735523476059,0.113652354304468,0.113652354304468,0.15,3
186,L,0.0837,3,0.112896612379635,0.111706739000099,0.113599747711065,0.113599747711065,0.15,3
187,H,0.0995,3,0.113394561793505,0.113665964371662,0.117057937640627,0.117057937640627,0.15,3
188,L,0.0837,3,0.121634661910706,0.122582300662541,0.124995970731299,0.124995970731299,0.15,3
189,L,0.0837,3,0.138789619668535,0.137591435447661,0.139384631655503,0.139384631655503,0.15,3
190,H,0.0995,3,0.152556764456717,0.155717516836646,0.158700270606489,0.158700270606489,0.15,3
191,H,0.0995,3,0.11324481815661,0.11210531738924,0.115336657592324,0.115336657592324,0.15,3
192,H,0.0995,3,0.114664663332883,0.113777505006167,0.117082652633783,0.117082652633783,0.15,3
193,L,0.0837,3,0.114213802747579,0.113095498139779,0.115162248579843,0.115162248579843,0.15,3
194,L,0.0837,3,0.113386216522273,0.113050296605056,0.115432909456252,0.115432909456252,0.15,3
195,L,0.0837,3,0.112643239390679,0.11146343670504,0.113103072427654,0.113103072427654,0.15,3
196,L,0.0837,3,0.127827500840617,0.127400846122975,0.129773861056322,0.129773861056322,0.15,3
197,H,0.0995,3,0.113183186238932,0.111903052305282,0.115072760590688,0.115072760590688,0.15,3
198,L,0.0837,3,0.142492898822202,0.141735145960175,0.14403867813702,0.14403867813702,0.15,3
199,L,0.0837,3,0.113376424755074,0.112948199046576,0.11532102013073,0.11532102013073,0.15,3
200,H,0.0995,3,0.137284721632916,0.137492531910854,0.140876047748046,0.140876047748046,0.15,3
1,L,0.0837,5,0.121603604396369,0.120412399102561,0.12229773624622,0.12229773624622,0.15,5
2,L,0.0837,5,0.120351988893446,0.119220319539649,0.121266690407761,0.121266690407761,0.15,5
3,L,0.0837,5,0.112115461323536,0.111175542305499,0.112287400023187,0.112287400023187,0.15,5
4,L,0.0837,5,0.11290997180596,0.111722724054017,0.113629092253191,0.113629092253191,0.15,5
5,L,0.0837,5,0.143687842598699,0.142800170348685,0.145052181350565,0.145052181350565,0.15,5
6,H,0.0995,5,0.157758496249248,0.158242866921858,0.161614176676024,0.161614176676024,0.15,5
7,H,0.0995,5,0.130112288242294,0.128892732682932,0.132091375750342,0.132091375750342,0.15,5
8,L,0.0837,5,0.124380072569136,0.123392212572578,0.125586363517855,0.125586363517855,0.15,5
9,L,0.0837,5,0.113143345056289,0.112088156314153,0.114227897763193,0.114227897763193,0.15,5
10,H,0.0995,5,0.121447663732915,0.120909742954313,0.124270639670459,0.124270639670459,0.15,5
11,H,0.0995,5,0.113040359344235,0.111552442423111,0.114579323813847,0.114579323813847,0.15,5
12,L,0.0837,5,0.117706355480261,0.117459460649105,0.119848743822848,0.119848743822848,0.15,5
13,L,0.0837,5,0.118124810030139,0.117261539720595,0.119524863392078,0.119524863392078,0.15,5
14,H,0.0995,5,0.1131946352565,0.111937465188453,0.115118622491455,0.115118622491455,0.15,5
15,H,0.0995,5,0.113300233284861,0.112337248448061,0.115624003779424,0.115624003779424,0.15,5
16,L,0.0837,5,0.122416704178896,0.121474004831881,0.123696850317687,0.123696850317687,0.15,5
17,H,0.0995,5,0.139440957627903,0.141027055330315,0.14428370768017,0.14428370768017,0.15,5
18,H,0.0995,5,0.112840510778725,0.11120651077413,0.114033543599357,0.114033543599357,0.15,5
19,L,0.0837,5,0.113376181782304,0.112945998621759,0.115318576795884,0.115318576795884,0.15,5
20,H,0.0995,5,0.112709145355269,0.11103170804132,0.11372737544309,0.11372737544309,0.15,5
21,L,0.0837,5,0.113372533134412,0.112914352849783,0.115283282376048,0.115283282376048,0.15,5
22,L,0.0837,5,0.128416114699933,0.12793003369638,0.130294991778412,0.130294991778412,0.15,5
23,L,0.0837,5,0.113208434026679,0.112236474814398,0.114441305233654,0.114441305233654,0.15,5
24,H,0.0995,5,0.124131155808981,0.124498532791279,0.127876044834683,0.127876044834683,0.15,5
25,L,0.0837,5,0.112489499526828,0.111356235710254,0.112842131630862,0.112842131630862,0.15,5
26,L,0.0837,5,0.126395050480408,0.12592729484021,0.128294900076185,0.128294900076185,0.15,5
27,L,0.0837,5,0.111380492099655,0.111019716315192,0.111396604809552,0.111396604809552,0.15,5
28,L,0.0837,5,0.112888224540721,0.111696901307228,0.113581522241199,0.113581522241199,0.15,5
29,H,0.0995,5,0.113263650863031,0.112177306299731,0.115427479209264,0.115427479209264,0.15,5
30,L,0.0837,5,0.117968497425114,0.116773857618257,0.118504078909585,0.118504078909585,0.15,5
31,H,0.0995,5,0.135093934605595,0.137006959978093,0.140276643363387,0.140276643363387,0.15,5
32,H,0.0995,5,0.11325894376429,0.112158753733324,0.115404219544117,0.115404219544117,0.15,5
33,H,0.0995,5,0.113304146720632,0.112356363492128,0.115647032259263,0.115647032259263,0.15,5
34,L,0.0837,5,0.138981659022503,0.13810416255422,0.140360999450935,0.140360999450935,0.15,5
35,L,0.0837,5,0.12870660567105,0.129004458824571,0.13139259786602,0.13139259786602,0.15,5
36,L,0.0837,5,0.112778936939665,0.111581134132647,0.113356467465729,0.113356467465729,0.15,5
37,H,0.0995,5,0.141318999955929,0.142037374426992,0.14539222241905,0.14539222241905,0.15,5
38,L,0.0837,5,0.113263982932659,0.112394175024076,0.114654554349135,0.114654554349135,0.15,5
39,L,0.0837,5,0.129343799424774,0.129399696472003,0.131795774275681,0.131795774275681,0.15,5
40,H,0.0995,5,0.113831412754374,0.113026402778856,0.116348562233256,0.116348562233256,0.15,5
41,L,0.0837,5,0.113144172546312,0.112089859390663,0.114230428329723,0.114230428329723,0.15,5
42,L,0.0837,5,0.114009229707302,0.113930797274212,0.116326529999839,0.116326529999839,0.15,5
43,L,0.0837,5,0.11337085101868,0.112900556456136,0.115267803866682,0.115267803866682,0.15,5
44,L,0.0837,5,0.129231873719834,0.128826230720205,0.131201744216969,0.131201744216969,0.15,5
45,L,0.0837,5,0.130687412841711,0.130986838940929,0.13337489516353,0.13337489516353,0.15,5
46,L,0.0837,5,0.112991975723287,0.111830361094967,0.113818733211325,0.113818733211325,0.15,5
47,H,0.0995,5,0.112356440553461,0.110683752498032,0.113026715097993,0.113026715097993,0.15,5
48,L,0.0837,5,0.112363007089801,0.111284187115145,0.112643590598862,0.112643590598862,0.15,5
49,H,0.0995,5,0.1277440987737,0.126418326026971,0.129563303934634,0.129563303934634,0.15,5
50,H,0.0995,5,0.113257658099146,0.112153754150109,0.115397934295757,0.115397934295757,0.15,5
51,H,0.0995,5,0.130929161912409,0.130691845433713,0.134073890216594,0.134073890216594,0.15,5
52,H,0.0995,5,0.113269463504067,0.112200777538305,0.115456763088874,0.115456763088874,0.15,5
53,H,0.0995,5,0.112571739544704,0.110878680008683,0.113436941599888,0.113436941599888,0.15,5
54,H,0.0995,5,0.113036612723439,0.11154472189081,0.114567856660751,0.114567856660751,0.15,5
55,H,0.0995,5,0.113114860951949,0.111719809892377,0.114821192890828,0.114821192890828,0.15,5
56,H,0.0995,5,0.113240932115954,0.112091162033921,0.115318616196377,0.115318616196377,0.15,5
57,H,0.0995,5,0.121648404666964,0.121496162462037,0.124880891950147,0.124880891950147,0.15,5
58,L,0.0837,5,0.113256513811949,0.112370712063071,0.114623622267446,0.114623622267446,0.15,5
59,L,0.0837,5,0.113318964859564,0.112599689986116,0.114915051237858,0.114915051237858,0.15,5
60,H,0.0995,5,0.113138551424101,0.111779533204474,0.114904606675077,0.114904606675077,0.15,5
61,L,0.0837,5,0.128014310616397,0.126971636070129,0.129122852147281,0.129122852147281,0.15,5
62,L,0.0837,5,0.165401369261367,0.165034558886203,0.167414244095244,0.167414244095244,0.15,5
63,L,0.0837,5,0.112952370905591,0.111776207593735,0.113724974892469,0.113724974892469,0.15,5
64,H,0.0995,5,0.113399772692885,0.113455262420579,0.116842011885426,0.116842011885426,0.15,5
65,H,0.0995,5,0.113394195326929,0.113674592480432,0.117066933553597,0.117066933553597,0.15,5
66,H,0.0995,5,0.11289004174779,0.111281662329837,0.114158226124128,0.114158226124128,0.15,5
67,H,0.0995,5,0.113227807271364,0.112044927890086,0.115259257207953,0.115259257207953,0.15,5
68,H,0.0995,5,0.112985764545045,0.111445423515914,0.11441771010746,0.11441771010746,0.15,5
