auction_id,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
61,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0758426695171954,0.0758426695171954,0,2.22044604925031e-16,0.982077671187813,0.023645471806744,0.0758426695171954,0,0,0.1
62,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0750044342341133,0.0750044342341133,0,2.22044604925031e-16,0.970989902586969,-0.108435330605133,0.0750044342341133,0,0,0.1
63,H,0.0995,10,0.560677050330648,0.0216423268408614,4,0.0776169454238876,0.0776169454238876,0,2.22044604925031e-16,0.996815662285558,-0.0642614325878939,0.0776169454238876,0,0,0.1
64,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0951154588343111,0.0951154588343111,0,0.73328042879733,0.998399887029569,0.059114928108805,0.0951154588343111,0,0,0.1
65,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0871897365541405,0.0871897365541405,0,0.459514041485573,0.988117145012157,-0.164901574599199,0.0871897365541405,0,0,0.1
66,H,0.0995,10,0.560677050330648,0.0216423268408614,4,0.0852462374418038,0.0852462374418038,0,0.360612351197516,0.984683113324998,0.0478152929690796,0.0852462374418038,0,0,0.1
67,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0786462859598315,0.0786462859598315,0,0.024128885409291,1.011598330861,0.0319804609515765,0.0786462859598315,0,0,0.1
68,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0774769183298959,0.0774769183298959,0,2.22044604925031e-16,1.00369471907495,-0.0488309174090351,0.0774769183298959,0,0,0.1
69,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0772810912432947,0.0772810912432947,0,2.22044604925031e-16,1.00110441314466,0.0255056858172195,0.0772810912432947,0,0,0.1
70,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0773276389073078,0.0773276389073078,0,2.22044604925031e-16,0.992988856979969,0.0334537303665082,0.0773276389073078,0,0,0.1
71,L,0.0837,10,0.560677050330648,0.0216423263814932,3,0.0928152199236356,0.0928152199236356,0,0.697107859775248,0.988044524273402,0.0698667372323661,0.0928152199236356,0,0,0.1
72,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0824537536154508,0.0824537536154508,0,0.216331792887965,0.992976307146371,0.154677425337945,0.0824537536154508,0,0,0.1
73,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0928357251289357,0.0928357251289357,0,0.666258184834228,0.99798688547723,0.0795033872607365,0.0928357251289357,0,0,0.1
74,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0909952886786386,0.0909952886786386,0,0.59821472368414,0.994973575708666,-0.149855852368893,0.0909952886786386,0,0,0.1
75,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0772767980769727,0.0772767980769727,0,2.22044604925031e-16,1.00104765530293,0.0201803848935711,0.0772767980769727,0,0,0.1
76,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.079655645296141,0.079655645296141,0,0.130373255011581,0.982911611595069,-0.138388042296782,0.079655645296141,0,0,0.1
77,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0770358785083959,0.0770358785083959,0,2.22044604925031e-16,0.997860858616318,-0.00694248710250099,0.0770358785083959,0,0,0.1
78,L,0.0837,10,0.560677050330648,0.0216423263814932,3,0.0755297266551052,0.0755297266551052,0,2.22044604925031e-16,0.977938214857284,0.0714086370421121,0.0755297266551052,0,0,0.1
79,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0842893574161725,0.0842893574161725,0,0.315392010518211,0.994933454817927,-0.05402785935033,0.0842893574161725,0,0,0.1
80,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0812006484081506,0.0812006484081506,0,0.16750358236444,0.991708097404219,0.0779760334092789,0.0812006484081506,0,0,0.1
81,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0748560112462385,0.0748560112462385,0,2.22044604925031e-16,0.969026635800194,-0.0480416314970153,0.0748560112462385,0,0,0.1
82,H,0.0995,10,0.560677050330648,0.0216423268408614,9,0.0856346581561705,0.0856346581561705,0,0.287882681657847,1.01262112780323,0.174744434235654,0.0856346581561705,0,0,0.1
83,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0768834280653766,0.0768834280653766,0,2.22044604925031e-16,0.995844318198228,-0.061367263357898,0.0768834280653766,0,0,0.1
84,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.103583950191424,0.103583950191424,0,1.12671089560325,0.995810904032588,-0.0101586282378912,0.103583950191424,0,0,0.1
